Split,CER,WER,Exact Match,BLEU
VAL_ALL,0.5585557608992032,0.7805493021161639,0.1983768406961178,0.02149946946136446
TEST_LINE,0.2688139215386964,0.6051230871590153,0.0,0.3052103785120202
TEST_WORD,0.5017382413087934,0.8622006247830615,0.14994793474488025,2.546493572222616e-155
TEST_PARAGRAPH,0.991711874623267,1.0,0.0,0.004373597939892262
VAL_WORD,0.42315031895752686,0.79261185331301,0.2125885411996772,3.733715610824862e-155
VAL_PARAGRAPH,0.9861203040696391,0.998610990537373,0.0,0.006561880925266329
VAL_LINE,0.1991250632020928,0.5318989006858968,0.0,0.37782842390895394
TEST_ALL,0.5971953310836975,0.8218823793995277,0.13877288788949566,0.019750359016078613
